tconst,primaryTitle,originalTitle,isAdult,releaseYear,runtimeMinutes,genres,averageRating,numVotes,nudity,violence,profanity,alcohol,frightening,actors,countriesOfOrigin,productionCompanies,budget,grossWorldwide
tt0046000,Lili,Lili,0,1953.0,81.0,"Drama,Musical,Romance",7.3,3884,Mild,None,None,Mild,None,"Leslie Caron, Mel Ferrer, Jean-Pierre Aumont, Zsa Zsa Gabor, Kurt Kasznar, Amanda Blake, Alex Gerry, Ralph Dumke, Wilton Graff, George Baxter, Nick Borgani, Gene Conklin, Paul Cristo, George Davis, Jeannine Ducasse, Bess Flowers, Richard Grayson, Claude Guy",United States,Metro-Goldwyn-Mayer (MGM),1236642.0,
tt0881200,Assembly,Ji jie hao,0,2007.0,124.0,"Action,Biography,Drama",7.3,7280,None,Severe,None,Mild,Mild,"Hanyu Zhang, Chao Deng, Wenkang Yuan, Yan Tang, Fan Liao, Baoqiang Wang, Jun Hu, Quan Ren, Ming Hu, Naiwen Li, Heng Fu, Wu Hongwu, Peng Ye, Shaokang Zhao, Chen Li, Haiqiong Luo, Chunyu Zheng, Zhu Tianyou","China, Hong Kong, South Korea","China Film Co-Production Corporation, Huayi Brothers Media, MK Pictures",14624000.0,31795281.44
tt3202202,Palm Trees in the Snow,Palmeras en la nieve,0,2015.0,163.0,"Drama,Romance",7.3,12360,Severe,Moderate,,Mild,Moderate,"Mario Casas, Adriana Ugarte, Macarena García, Alain Hernández, Berta Vázquez, Djédjé Apali, Daniel Grao, Kimbo, Fernando Cayo, Celso Bugallo, Petra Martínez, Luis Callejo, José Manuel Poga, Serge Happi, Michael Batista, Laia Costa, Brigitte Emaga, Tomás del Estal",Spain,"Nostromo Pictures, Atresmedia Cine, Atresmedia",10000000.0,16843406.79
tt0108071,The Secret Garden,The Secret Garden,0,1993.0,101.0,"Drama,Family,Fantasy",7.3,43857,None,None,None,None,Mild,"Kate Maberly, Maggie Smith, Heydon Prowse, Andrew Knott, Laura Crossley, John Lynch, Walter Sparrow, Irène Jacob, Frank Baker, Valerie Hill, Andrea Pickering, Peter Moreton, Arthur Spreckley, Colin Bruce, Parsan Singh, Eileen Page, David Stoll, Tabatha Allen",United States,"Warner Bros., American Zoetrope",16452000.0,28499751.158
tt1772250,The Hidden Face,La cara oculta,0,2011.0,97.0,"Drama,Horror,Mystery",7.3,45657,Severe,Mild,Mild,Mild,Moderate,"Quim Gutiérrez, Martina García, María Soledad Rodríguez, Jose Luis Garcia, Marcela Mar, Humberto Dorado, Julio Pachón, Juan Alfonso Baptista, Marcela Benjumea, Clara Lago, Alexandra Stewart, Mozad, Manuel Antonio Gómez","Spain, Colombia","Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Fondo para el Desarrollo Cinematografico, Programa Ibermedia",2376400.0,5775025.826
tt0077742,Interiors,Interiors,0,1978.0,92.0,Drama,7.3,20696,Mild,Mild,Mild,Moderate,Mild,"Diane Keaton, Geraldine Page, Kristin Griffith, Mary Beth Hurt, Richard Jordan, E.G. Marshall, Maureen Stapleton, Sam Waterston, Missy Hope, Kerry Duffy, Nancy Collins, Penny Gaston, Roger Morden, Henderson Forsythe",United States,"Jack Rollins & Charles H. Joffe Productions, Rollins-Joffe Productions",9140000.0,9535182.524
tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,0,2015.0,141.0,"Action,Adventure,Sci-Fi",7.3,909251,Mild,Moderate,Mild,Mild,Moderate,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Linda Cardellini, Stellan Skarsgård",United States,"Marvel Studios, Walt Disney Pictures",228500000.0,1284186495.872
tt9170516,The Bombardment,Skyggen i mit øje,0,2021.0,107.0,"Drama,History,War",7.3,16004,None,Severe,Mild,Mild,Severe,"Bertram Bisgaard Enevoldsen, Ester Birch, Ella Josephine Lund Nilsson, Malena Lucia Lodahl, Fanny Leander Bornedal, Alex Høgh Andersen, Alban Lendorf, James Tarpey, Casper Kjær Jensen, Danica Curcic, Mads Riisom, Malene Beltoft Olsen, Kristian Ibler, Rikke Louise Andersson, Henrik Noël Olesen, Maria Rossing, Mathias Flint, Caspar Phillipson","Denmark, Belgium","Miso Film, 4Fiction, Umedia",,
tt1423894,Barney's Version,Barney's Version,0,2010.0,134.0,"Comedy,Drama",7.3,25982,Mild,Mild,Moderate,Moderate,Mild,"Paul Giamatti, Rosamund Pike, Jake Hoffman, Macha Grenon, Paul Gross, Atom Egoyan, Mark Camacho, David Pryde, Paula Jean Hixson, Mark Addy, Scott Speedman, Marica Pellegrinelli, Thomas Trabacchi, Clé Bennett, Rachelle Lefevre, Domenico Minutoli, Massimo Wertmüller, Saul Rubinek","Italy, Canada","Serendipity Point Films, Fandango, Lyla Films",27420000.0,11065725.794
tt0065782,Sunflower,I girasoli,0,1970.0,107.0,"Drama,War",7.3,4384,Mild,Mild,None,Mild,,"Sophia Loren, Marcello Mastroianni, Lyudmila Saveleva, Galina Andreeva, Anna Carena, Nadya Serednichenko, Germano Longo, Glauco Onorato, Silvano Tranquilli, Marisa Traversi, Gunars Cilinskis, Giorgio Basso, Gianni Bortolotto, Umberto Di Grazia, Giuliano Girardi, Dino Peretti, Pippo Starnazza, Carlo Ponti Jr.","Italy, France, Soviet Union, United States","Compagnia Cinematografica Champion, Les Films Concordia, Mosfilm",,
